Stan;Stolica;data;day1;day2;day3;day4;day5;day6;day7;;
Washington;Olympia; 3/10/20 ;45;45;46;91;55;38;33;;
New York;Albany; 3/10/20 ;56;36;40;63;44;27;21;;
California;San Jose; 3/10/20 ;45;48;38;58;71;74;63;;
Massachusetts;Boston; 3/10/20 ;62;53;77;84;32;44;42;;
Georgia;Atlanta; 3/10/20 ;76;71;69;71;49;78;78;;
Colorado;Denver; 3/10/20 ;27;19;55;71;56;43;35;;
Florida;Tallahassee; 3/10/20 ;55;57;54;56;43;40;50;;
New Jersey;Trenton; 3/10/20 ;60;36;72;57;27;33;55;;
Oregon;Salem; 3/10/20 ;44;60;49;86;79;43;54;;
Texas;Austin; 3/10/20 ;61;52;49;55;56;87;74;;
Illinois;Springfield; 3/10/20 ;82;76;90;37;88;61;83;;
Pennsylvania;Harrisburg; 3/10/20 ;52;45;50;33;26;39;35;;
Iowa;Des Moines; 3/10/20 ;59;56;56;30;82;59;69;;
Maryland;Annapolis; 3/10/20 ;51;63;65;41;42;53;56;;
North Carolina;Raleigh; 3/10/20 ;70;52;61;62;25;61;45;;
South Carolina;Columbia; 3/10/20 ;60;47;48;50;38;68;66;;
Tennessee;Nashville; 3/10/20 ;67;73;70;42;73;71;70;;
Virginia;Richmond; 3/10/20 ;58;54;68;40;21;66;44;;
Arizona;Phoenix; 3/10/20 ;46;89;68;66;43;34;30;;
Indiana;Indianapolis; 3/10/20 ;84;82;80;46;96;60;64;;
Kentucky;Frankfort; 3/10/20 ;74;65;74;32;77;68;70;;
District of Columbia;Washington DC; 3/10/20 ;53;55;58;39;25;61;43;;
Nevada;Carson City; 3/10/20 ;23;28;17;22;48;45;69;;
New Hampshire;Concord; 3/10/20 ;44;32;53;85;30;23;22;;
Minnesota;Saint Paul; 3/10/20 ;44;70;80;41;49;49;79;;
Nebraska;Lincoln; 3/10/20 ;81;66;46;40;82;78;79;;
Ohio;Columbus; 3/10/20 ;78;82;54;40;88;58;66;;
Rhode Island;Providence; 3/10/20 ;45;40;64;91;36;20;46;;
 Wisconsin;Madison; 3/10/20 ;47;84;85;32;56;55;69;;
Connecticut;Hartford; 3/10/20 ;43;30;60;77;36;25;37;;
Hawaii;Honolulu; 3/10/20 ;55;58;80;65;60;67;84;;
Oklahoma;Oklahoma City; 3/10/20 ;49;50;27;91;88;90;98;;
Utah;Salt Lake City; 3/10/20 ;41;40;24;51;37;26;24;;
Kansas;Topeka; 3/10/20 ;76;48;52;43;85;74;82;;
Louisiana;Baton Rouge; 3/10/20 ;77;59;59;54;53;45;52;;
Missouri;Jefferson City; 3/10/20 ;75;56;85;39;85;66;79;;
Vermont;Montpelier; 3/10/20 ;74;53;51;74;42;41;22;;
Alaska;Juneau; 3/13/20 ;42;51;54;74;60;80;35;;
Arkansas;Little Rock; 3/11/20 ;76;69;51;91;74;90;43;;
Delaware;Dover; 3/11/20 ;58;83;54;26;55;61;59;;
Idaho;Boise; 3/13/20 ;25;49;62;56;51;57;48;;
Maine;Augusta; 3/13/20 ;96;42;35;26;97;31;88;;
Michigan;Lansing; 3/11/20 ;77;58;46;56;38;70;40;;
Mississippi;Jackson; 3/12/20 ;44;73;59;60;53;53;54;;
Montana;Helena; 3/11/20 ;43;31;73;68;61;49;56;;
New Mexico;Santa Fe; 3/11/20 ;48;41;85;43;40;20;22;;
North Dakota;Bismarck; 3/12/20 ;47;52;66;94;69;48;87;;
South Dakota;Pierre; 3/11/20 ;24;38;41;83;81;76;71;;
West Virginia;Charleston; 3/17/20 ;86;58;81;51;76;48;83;;
Wyoming;Cheyenne; 3/12/20;68;91;93;70;57;72;42;;
